"GEO_ID","NAME","B25077_001E","B25077_001M","X"
"1400000US53033029702","Census Tract 297.02; King County; Washington","520500","225114",NA
"1400000US53033029803","Census Tract 298.03; King County; Washington","517100","372484",NA
"1400000US53033029804","Census Tract 298.04; King County; Washington","567200","58044",NA
"1400000US53033029805","Census Tract 298.05; King County; Washington","515600","42738",NA
"1400000US53033029806","Census Tract 298.06; King County; Washington","547600","74263",NA
"1400000US53033029901","Census Tract 299.01; King County; Washington","479700","21794",NA
"1400000US53033029902","Census Tract 299.02; King County; Washington","628800","34235",NA
"1400000US53033030003","Census Tract 300.03; King County; Washington","568100","55787",NA
"1400000US53033030005","Census Tract 300.05; King County; Washington","414400","61655",NA
"1400000US53033030006","Census Tract 300.06; King County; Washington","538500","231107",NA
"1400000US53033030007","Census Tract 300.07; King County; Washington","614900","46156",NA
"1400000US53033030008","Census Tract 300.08; King County; Washington","434100","54474",NA
"1400000US53033030101","Census Tract 301.01; King County; Washington","686400","89811",NA
"1400000US53033030102","Census Tract 301.02; King County; Washington","689900","58325",NA
"1400000US53033030201","Census Tract 302.01; King County; Washington","411700","42472",NA
"1400000US53033030203","Census Tract 302.03; King County; Washington","413300","35483",NA
"1400000US53033030204","Census Tract 302.04; King County; Washington","458400","74035",NA
"1400000US53033030304","Census Tract 303.04; King County; Washington","606700","65743",NA
"1400000US53033030305","Census Tract 303.05; King County; Washington","577000","51923",NA
"1400000US53033030306","Census Tract 303.06; King County; Washington","565800","36279",NA
"1400000US53033030308","Census Tract 303.08; King County; Washington","582800","34738",NA
"1400000US53033030309","Census Tract 303.09; King County; Washington","529400","88649",NA
"1400000US53033030310","Census Tract 303.10; King County; Washington","592900","30170",NA
"1400000US53033030311","Census Tract 303.11; King County; Washington","468800","17872",NA
"1400000US53033030312","Census Tract 303.12; King County; Washington","526400","59883",NA
